"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some college","standard","completed","80","86","91"
"male","group E","bachelor's degree","standard","completed","75","75","78"
"male","group C","some college","standard","none","67","76","69"
"male","group C","bachelor's degree","standard","none","65","57","57"
"male","group D","bachelor's degree","free/reduced","none","48","42","46"
"male","group A","bachelor's degree","standard","none","73","70","69"
"female","group B","high school","standard","none","48","64","57"
"male","group E","some college","free/reduced","completed","71","64","56"
"female","group C","some college","standard","none","82","90","92"
"female","group A","some high school","standard","none","73","80","75"
"female","group C","bachelor's degree","free/reduced","none","81","93","91"
"female","group C","associate's degree","standard","completed","66","74","78"
"male","group C","associate's degree","free/reduced","none","63","56","55"
"male","group C","bachelor's degree","standard","none","85","73","64"
"male","group B","some high school","free/reduced","none","46","43","35"
"female","group C","high school","standard","none","67","66","72"
"female","group D","some high school","standard","none","66","78","77"
"male","group E","some high school","free/reduced","completed","58","64","55"
"male","group A","bachelor's degree","standard","completed","100","98","99"
"female","group C","bachelor's degree","standard","completed","68","78","87"
"female","group B","high school","free/reduced","none","64","68","67"
"male","group B","some high school","standard","completed","56","51","51"
"female","group E","high school","standard","completed","87","95","92"
"female","group D","high school","standard","none","60","64","67"
"female","group D","associate's degree","standard","none","41","49","44"
"female","group E","high school","standard","none","85","73","77"
"male","group C","associate's degree","standard","none","70","69","68"
"female","group D","high school","free/reduced","none","52","58","54"
"male","group A","high school","standard","none","49","53","54"
"female","group E","master's degree","standard","none","66","75","75"
"male","group D","master's degree","standard","none","64","68","71"
"male","group C","some college","free/reduced","none","51","55","49"
"female","group A","bachelor's degree","free/reduced","none","46","58","57"
"female","group D","associate's degree","standard","completed","91","97","98"
"female","group A","some college","standard","completed","84","95","93"
"male","group D","bachelor's degree","standard","completed","100","100","100"
"male","group A","some college","free/reduced","completed","74","72","73"
"female","group B","bachelor's degree","standard","completed","79","87","98"
"male","group A","associate's degree","standard","none","87","84","81"
"male","group E","bachelor's degree","free/reduced","none","71","67","64"
"female","group D","associate's degree","standard","none","69","89","91"
"male","group B","bachelor's degree","standard","none","71","64","62"
"female","group D","associate's degree","free/reduced","none","59","66","70"
"male","group B","some high school","free/reduced","none","39","35","32"
"male","group E","some college","standard","none","92","85","83"
"female","group B","some college","standard","completed","74","80","82"
"female","group C","some college","standard","none","82","84","88"
"female","group B","some high school","standard","none","59","74","69"
"male","group C","high school","standard","none","71","63","52"
"male","group D","some college","free/reduced","none","84","89","80"
"male","group D","associate's degree","standard","none","74","75","73"
"male","group B","high school","free/reduced","none","43","48","46"
"female","group C","high school","standard","completed","74","78","81"
"male","group B","some college","standard","completed","93","97","96"
"female","group D","bachelor's degree","standard","none","87","93","92"
